Model,TargetRealParameters,ActualRealParameters,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,FineTuneEpochs,MaxAbsRealParameter
Independent PN-IQ PN-DOMP sweep,120,120,0,-40.9559735133872,-41.137721958904,-41.1544855487023,412,120,0,NaN,NaN,60089.8057677629
Independent PN-IQ PN-DOMP sweep,130,130,0,-41.1444642656428,-41.260037061353,-41.2726773234998,443,130,0,NaN,NaN,60453.0105458292
Independent PN-IQ PN-DOMP sweep,140,140,0,-41.5539801327235,-41.3888931708423,-41.3999465770188,487,140,0,NaN,NaN,60833.2293294561
Independent PN-IQ PN-DOMP sweep,150,150,0,-41.6666302961697,-41.53885724959,-41.5311446741762,517,150,0,NaN,NaN,60762.0914118987
Independent PN-IQ PN-DOMP sweep,160,160,0,-41.7306099781617,-41.6025975680042,-41.6112444947258,545,160,0,NaN,NaN,60682.5663014546
Independent PN-IQ PN-DOMP sweep,170,170,0,-41.801706331949,-41.6602371810383,-41.6679528644574,579,170,0,NaN,NaN,60449.528271702
Independent PN-IQ PN-DOMP sweep,180,180,0,-41.9145190239562,-41.7020379413931,-41.7036982049802,608,180,0,NaN,NaN,60283.1920077093
Independent PN-IQ PN-DOMP sweep,190,190,0,-42.082143703232,-42.1522189491378,-42.1510419905205,635,190,0,NaN,NaN,59802.7252211262
Independent PN-IQ PN-DOMP sweep,200,200,0,-42.1182680344423,-42.2041968202315,-42.1980846040345,663,200,0,NaN,NaN,59741.9419387179
Independent PN-IQ PN-DOMP sweep,210,210,0,-42.1401767014848,-42.3569503225277,-42.3354550909576,703,210,0,NaN,NaN,59808.7941321046
Independent PN-IQ PN-DOMP sweep,220,220,0,-42.1995141880551,-42.4022937096764,-42.3736552354771,731,220,0,NaN,NaN,59667.2002667601
Independent PN-IQ PN-DOMP sweep,230,230,0,-42.2194179458197,-42.4689869994593,-42.4499196245269,758,230,0,NaN,NaN,59746.2986812776
Independent PN-IQ PN-DOMP sweep,240,240,0,-42.2641353815836,-42.497589813033,-42.4723272280191,790,240,0,NaN,NaN,59734.1318826269
Independent PN-IQ PN-DOMP sweep,250,250,0,-42.4421656519219,-42.5293086664404,-42.5024896234708,825,250,0,NaN,NaN,59819.6356460195
Independent PN-IQ PN-DOMP sweep,260,260,0,-42.4828064007161,-42.570550089631,-42.5412479448454,853,260,0,NaN,NaN,59735.6524042748
Independent PN-IQ PN-DOMP sweep,270,270,0,-42.5249359938397,-42.5945137363601,-42.5566343142055,879,270,0,NaN,NaN,59769.97804703
Independent PN-IQ PN-DOMP sweep,280,280,0,-42.5521779147564,-42.6198058141034,-42.5796725347224,909,280,0,NaN,NaN,59794.0944836393
Independent PN-IQ PN-DOMP sweep,290,290,0,-42.5638590540854,-42.6367327835275,-42.5980829669973,933,290,0,NaN,NaN,59802.8246452332
Independent PN-IQ PN-DOMP sweep,300,300,0,-42.5828647807476,-42.6775827822673,-42.6390169978296,966,300,0,NaN,NaN,59698.0105847465
Independent PN-IQ PN-DOMP sweep,310,310,0,-42.5926417991963,-42.6943407946764,-42.6466847577144,1003,310,0,NaN,NaN,59846.1984018844
Independent PN-IQ PN-DOMP sweep,320,320,0,-42.6024556781735,-42.7288211433396,-42.6832747961349,1038,320,0,NaN,NaN,59877.6812450978
Independent PN-IQ PN-DOMP sweep,330,330,0,-42.6445225374674,-42.7615370186331,-42.7139008913157,1065,330,0,NaN,NaN,59888.1135594295
Independent PN-IQ PN-DOMP sweep,340,340,0,-42.6496708784847,-42.7930686579121,-42.7401715399615,1095,340,0,NaN,NaN,59830.9284550131
Independent PN-IQ PN-DOMP sweep,350,350,0,-42.6702085543628,-42.8226183139608,-42.7681612810637,1121,350,0,NaN,NaN,59807.765388127
Independent PN-IQ PN-DOMP sweep,360,360,0,-42.6808142501333,-42.8353471347649,-42.7760440554361,1150,360,0,NaN,NaN,59794.3913342038
Independent PN-IQ PN-DOMP sweep,370,370,0,-42.6856205910276,-42.86474646009,-42.7983788523551,1180,370,0,NaN,NaN,59830.8205568674
Independent PN-IQ PN-DOMP sweep,380,380,0,-42.6908158053403,-42.8886921728389,-42.8211305442259,1211,380,0,NaN,NaN,59749.8084285389
Independent PN-IQ PN-DOMP sweep,390,390,0,-42.6969627296339,-42.921503948066,-42.8499124840891,1241,390,0,NaN,NaN,59697.9500527008
Independent PN-IQ PN-DOMP sweep,400,400,0,-42.7296125991166,-42.9930378478153,-42.9174693442353,1271,400,0,NaN,NaN,59496.6747342248
Independent PN-IQ PN-DOMP sweep,410,410,0,-42.7691934639372,-43.0015714055726,-42.9233312212863,1302,410,0,NaN,NaN,59529.1657813871
Independent PN-IQ PN-DOMP sweep,420,420,0,-42.7971868976055,-43.0106809738735,-42.9275088666832,1332,420,0,NaN,NaN,59477.3945970994
Independent PN-IQ PN-DOMP sweep,430,430,0,-42.8037945228417,-43.0184587955947,-42.9293524396691,1364,430,0,NaN,NaN,59456.3246581635
Independent PN-IQ PN-DOMP sweep,440,440,0,-42.804024878544,-43.0262183303415,-42.9353995744595,1386,440,0,NaN,NaN,59374.5611189418
Independent PN-IQ PN-DOMP sweep,450,450,0,-42.8028957657605,-43.0390721902261,-42.9416987574748,1408,450,0,NaN,NaN,59396.2078238662
Independent PN-IQ PN-DOMP sweep,460,460,0,-42.8137277708376,-43.0528627731758,-42.9508494950553,1434,460,0,NaN,NaN,59378.0957880074
Independent PN-IQ PN-DOMP sweep,470,470,0,-42.8804466220351,-43.0620413011499,-42.9560413153463,1464,470,0,NaN,NaN,59380.5593637655
Independent PN-IQ PN-DOMP sweep,480,480,0,-42.880709796592,-43.0751226561465,-42.9668430797656,1490,480,0,NaN,NaN,59422.8411612077
Independent PN-IQ PN-DOMP sweep,490,490,0,-42.8872129986664,-43.1284982176682,-43.0240550309238,1510,490,0,NaN,NaN,59633.5367750976
Independent PN-IQ PN-DOMP sweep,500,500,0,-42.8905267963396,-43.1724964498556,-43.0643690283071,1536,500,0,NaN,NaN,59754.4997370603
Sparse PNNN N12,20,20,NaN,NaN,-6.95773921015104,-6.94737083354969,200,6,14,99.4186046511628,164,2.29033255577087
Sparse PNNN N12,30,30,NaN,NaN,-16.4554808395297,-16.4391426406681,220,16,14,98.4496124031008,164,2.55497813224792
Sparse PNNN N12,40,40,NaN,NaN,-22.9113335504051,-22.8773653529809,240,26,14,97.4806201550388,164,2.25278568267822
Sparse PNNN N12,50,50,NaN,NaN,-25.191639155845,-25.172962899509,260,36,14,96.5116279069767,164,2.73907947540283
Sparse PNNN N12,60,60,NaN,NaN,-25.4702684801488,-25.4607903726737,280,46,14,95.5426356589147,164,2.41290402412415
Sparse PNNN N12,70,70,NaN,NaN,-25.5932712176805,-25.5875620672194,300,56,14,94.5736434108527,164,2.2131130695343
Sparse PNNN N12,80,80,NaN,NaN,-27.8331047282724,-27.8111100377968,320,66,14,93.6046511627907,164,2.13895487785339
Sparse PNNN N12,90,90,NaN,NaN,-28.7432045242173,-28.7114743574729,340,76,14,92.6356589147287,164,2.1096932888031
Sparse PNNN N12,100,100,NaN,NaN,-32.3779413419217,-32.3789951714908,360,86,14,91.6666666666667,164,2.18072080612183
Sparse PNNN N12,110,110,NaN,NaN,-33.2638812183754,-33.2595762925261,380,96,14,90.6976744186046,164,2.2049880027771
Sparse PNNN N12,120,120,NaN,NaN,-33.5766416191856,-33.5885178139391,400,106,14,89.7286821705426,164,2.14668583869934
Sparse PNNN N12,130,130,NaN,NaN,-33.7999649810807,-33.8267661590344,420,116,14,88.7596899224806,164,2.10422706604004
Sparse PNNN N12,140,140,NaN,NaN,-33.965134948394,-34.0045085778999,440,126,14,87.7906976744186,164,2.0374219417572
Sparse PNNN N12,150,150,NaN,NaN,-34.0267301470829,-34.0640350814755,460,136,14,86.8217054263566,164,2.03890776634216
Sparse PNNN N12,160,160,NaN,NaN,-34.1584910601185,-34.2090714094562,480,146,14,85.8527131782946,164,1.98927903175354
Sparse PNNN N12,170,170,NaN,NaN,-34.6611364227004,-34.7091662029687,500,156,14,84.8837209302326,164,2.18123364448547
Sparse PNNN N12,180,180,NaN,NaN,-36.7184642891563,-36.7412632416498,520,166,14,83.9147286821705,164,2.12062072753906
Sparse PNNN N12,190,190,NaN,NaN,-36.7044265960111,-36.7335785085649,540,176,14,82.9457364341085,164,2.10844969749451
Sparse PNNN N12,200,200,NaN,NaN,-36.8608563500436,-36.9016869633439,560,186,14,81.9767441860465,164,2.0960373878479
Sparse PNNN N12,210,210,NaN,NaN,-37.2147459897003,-37.244532868377,580,196,14,81.0077519379845,164,2.03813099861145
Sparse PNNN N12,220,220,NaN,NaN,-37.4230409815374,-37.4445405375155,600,206,14,80.0387596899225,164,2.01255774497986
Sparse PNNN N12,230,230,NaN,NaN,-37.8312544210579,-37.8558926363682,620,216,14,79.0697674418605,164,2.10794019699097
Sparse PNNN N12,240,240,NaN,NaN,-38.1152003015003,-38.1381696999383,640,226,14,78.1007751937985,164,2.13458681106567
Sparse PNNN N12,250,250,NaN,NaN,-38.1448295714294,-38.1680781252401,660,236,14,77.1317829457364,164,2.13820362091064
Sparse PNNN N12,260,260,NaN,NaN,-38.180569208705,-38.1998422327814,680,246,14,76.1627906976744,164,2.16180205345154
Sparse PNNN N12,270,270,NaN,NaN,-38.5298054269916,-38.5508387141859,700,256,14,75.1937984496124,164,2.18110299110413
Sparse PNNN N12,280,280,NaN,NaN,-38.5851903034891,-38.5998285734153,720,266,14,74.2248062015504,164,2.18938016891479
Sparse PNNN N12,290,290,NaN,NaN,-38.6064899805779,-38.6117816029131,740,276,14,73.2558139534884,164,2.20237731933594
Sparse PNNN N12,300,300,NaN,NaN,-38.9589102868695,-38.9510795858277,760,286,14,72.2868217054264,164,2.20270943641663
Sparse PNNN N12,310,310,NaN,NaN,-39.0085744116743,-38.9817640665313,780,296,14,71.3178294573643,164,2.17962551116943
Sparse PNNN N12,320,320,NaN,NaN,-39.0545338863635,-39.0242575336972,800,306,14,70.3488372093023,164,2.18113231658936
Sparse PNNN N12,330,330,NaN,NaN,-39.267724392509,-39.2224030530554,820,316,14,69.3798449612403,164,2.16345810890198
Sparse PNNN N12,340,340,NaN,NaN,-39.2934083393179,-39.2429635431325,840,326,14,68.4108527131783,164,2.17243194580078
Sparse PNNN N12,350,350,NaN,NaN,-39.2785045082837,-39.2407849164101,860,336,14,67.4418604651163,164,2.15987253189087
Sparse PNNN N12,360,360,NaN,NaN,-39.322326626183,-39.2880226730368,880,346,14,66.4728682170543,164,2.15579438209534
Sparse PNNN N12,370,370,NaN,NaN,-39.3169472438093,-39.2841817417412,900,356,14,65.5038759689922,164,2.15677881240845
Sparse PNNN N12,380,380,NaN,NaN,-39.3534526587763,-39.3173687395023,920,366,14,64.5348837209302,164,2.14478874206543
Sparse PNNN N12,390,390,NaN,NaN,-39.3441507184185,-39.3033464616168,940,376,14,63.5658914728682,164,2.14483666419983
Sparse PNNN N12,400,400,NaN,NaN,-39.3348729149834,-39.2947434169106,960,386,14,62.5968992248062,164,2.142582654953
Sparse PNNN N12,410,410,NaN,NaN,-39.325972725931,-39.2921774902223,980,396,14,61.6279069767442,164,2.13983416557312
Sparse PNNN N12,420,420,NaN,NaN,-39.3173139649485,-39.283544487577,1000,406,14,60.6589147286822,164,2.13174605369568
Sparse PNNN N12,430,430,NaN,NaN,-39.3546514154324,-39.3201411749832,1020,416,14,59.6899224806202,164,2.13274478912354
Sparse PNNN N12,440,440,NaN,NaN,-39.3477522614931,-39.3171853898493,1040,426,14,58.7209302325581,164,2.14347624778748
Sparse PNNN N12,450,450,NaN,NaN,-39.338210128869,-39.3078563979496,1060,436,14,57.7519379844961,164,2.14109134674072
Sparse PNNN N12,460,460,NaN,NaN,-39.3660956640491,-39.3369807974355,1080,446,14,56.7829457364341,164,2.14014911651611
Sparse PNNN N12,470,470,NaN,NaN,-39.4186471947185,-39.3940516524108,1100,456,14,55.8139534883721,164,2.13872623443604
Sparse PNNN N12,480,480,NaN,NaN,-39.4520906026803,-39.4237511007717,1120,466,14,54.8449612403101,164,2.14108395576477
Sparse PNNN N12,490,490,NaN,NaN,-39.462143364215,-39.4342368920181,1140,476,14,53.8759689922481,164,2.13936376571655
Sparse PNNN N12,500,500,NaN,NaN,-39.4571594081825,-39.4307024304367,1160,486,14,52.906976744186,164,2.14356327056885
